113	9158	16
157	9714	4
167	898	0
14	5830	18
131	5952	4
103	6816	16
106	2480	4
3218	9509	4
101	174	4
821	9343	21
666	7646	0
120	9234	7
123	4091	8
239	4552	9
12938	5201	12
104	4623	3
105	7456	8
22253	1372	1
503	876	5
137	9210	18
153	2684	3
4363	1645	23
112	6217	24
201	4980	15
24169	5756	20
128	6218	0
4390	4938	15
9	372	2
104	3499	12
156	3197	1
113	3617	14
308	6338	4
1808	2620	5
114	1380	13
31412	7419	7
964	432	27
29608	9736	25
101	9257	9
6690	2265	5
11301	4449	20
214	5160	9
12	8781	25
7	7546	0
106	7824	16
29567	2470	17
153	5883	4
668	4837	25
2842	631	24
1946	8694	3
213	9701	14
103	8104	6
29504	6778	3
139	8784	0
101	1091	14
12	9767	17
537	6263	8
697	884	8
158	8189	2
102	6723	20
2147	3707	4
62	3153	5
14	3471	23
15609	8843	14
107	7638	10
17781	6363	9
14	8430	31
279	8125	10
8	1533	14
2426	3109	12
101	8388	3
7	8436	10
101	7143	1
20151	5598	29
101	4294	4
235	7557	3
145	9194	20
7	5276	5
2721	1187	5
148	4647	19
12	9889	7
118	6598	5
109	4628	2
3467	672	14
101	5449	16
101	4743	18
176	7125	24
204	594	22
104	3682	8
6826	616	0
14	3876	13
294	4329	14
713	1562	23
1553	7870	1
103	9447	30
24312	1854	1
101	6313	7
210	3013	19
106	2842	10
123	7480	18
108	2417	0
107	1937	11
102	1293	23
110	2103	5
125	6157	18
3272	1468	2
103	8552	10
23014	1008	6
101	7363	15
17498	3253	16
3018	7381	13
103	1832	7
714	1428	1
105	1319	11
126	9925	2
12	586	16
7	8222	6
4400	6310	5
118	4521	6
12	1702	14
9	5312	33
2287	5518	4
116	7566	13
132	4231	14
103	9604	20
9	8972	36
130	5446	0
105	5740	3
1104	8871	1
108	2998	0
1819	3512	21
28351	1072	3
728	1186	5
2084	9171	26
14	7726	19
370	212	11
197	5604	18
6989	26	36
12	5262	12
144	7048	3
102	928	31
2778	9700	4
2316	452	14
107	316	3
389	4150	22
103	7846	2
414	2232	12
101	8973	7
365	8712	12
2918	7862	7
104	9092	2
28382	781	22
13668	2771	13
294	2755	1
157	6871	20
4269	883	9
150	6712	4
9516	4521	3
12	4772	6
62	8902	36
586	208	10
62	1498	14
13915	9370	11
104	7373	8
2	3635	7
107	5213	1
108	3327	0
200	1243	5
2771	2966	13
6299	7786	3
12	3328	9
121	597	5
12777	2352	7
105	2952	14
117	5005	2
13040	5389	21
189	5497	5
101	8650	7
146	5289	15
105	4737	9
159	6623	20
6867	716	0
11800	6985	8
112	648	15
26265	7441	22
118	36	26
164	7970	14
109	4184	1
30084	3517	2
126	8201	5
166	78	13
177	9822	27
101	5856	15
25277	1826	6
102	1514	14
27350	2582	4
23519	1861	11
1286	1356	6
102	9316	1
743	8390	5
5066	1144	16
12	265	3
14	5591	34
685	8481	0
103	2401	15
280	1311	1
2989	1917	9
831	1100	8
221	2639	18
62	5751	11
113	5703	2
102	2884	31
136	5748	19
138	4886	4
102	9479	11
110	1372	17
104	3138	17
110	658	19
2302	5889	15
115	8672	18
104	328	10
544	8423	0
104	4292	2
101	6019	5
837	1975	10
3828	5051	3
2390	6700	33
101	3275	20
775	1380	7
16	7088	3
7356	6680	0
122	6845	3
29376	1012	6
361	3989	43
12	8376	33
204	3897	2
1395	9171	12
2337	9361	12
509	6432	10
101	7942	10
101	6344	8
29607	7691	1
113	8096	19
131	7402	2
157	825	10
211	3087	12
14	6983	10
62	6587	4
30066	7372	15
5141	7752	0
653	7958	6
101	8619	8
101	3375	28
103	3177	25
101	4521	15
4042	9585	0
12	8769	24
19019	503	7
5647	7214	4
427	3218	16
102	8329	11
14	4647	25
104	6565	5
112	4289	2
101	4621	5
101	5571	7
101	2208	8
101	2373	20
106	2938	17
137	8852	13
2202	6251	12
433	4197	3
12	5358	23
121	3100	13
102	6280	21
113	2404	15
104	7497	27
103	2685	42
2352	5820	8
1438	7307	11
143	9504	8
441	6327	27
104	2798	13
794	2239	2
105	7368	1
1506	285	11
328	4277	23
1448	3900	18
131	4001	10
27582	8594	24
9	8752	24
110	84	7
6511	7848	1
1293	279	19
150	1850	4
113	2752	5
108	1756	0
278	5393	20
112	3045	9
106	9847	3
103	2159	11
8658	6385	3
256	645	39
14841	1687	34
160	82	3
14	967	11
686	1605	21
4316	6734	12
14	3789	16
612	9500	3
3169	1462	4
9	5643	32
1084	9256	0
162	8311	10
136	8951	4
19858	9092	0
30264	3275	24
104	3853	3
129	1798	5
104	1068	6
12038	7453	5
111	5099	2
135	3729	0
62	7839	10
508	7563	6
125	554	8
104	3404	21
14	256	11
709	1431	19
17898	7995	0
23288	1848	8
113	8770	3
177	6971	9
248	7554	6
175	4629	0
118	8481	22
1354	7064	1
894	2674	12
699	6110	23
350	9929	8
3793	8121	4
9	8797	22
101	6178	4
101	2478	12
128	6119	0
775	8298	12
119	5104	3
101	8172	6
12	5927	19
8	502	9
624	4729	12
129	9517	20
1007	7005	23
104	6927	11
150	9046	17
168	4290	6
117	8168	18
112	8033	23
12	705	19
29506	2911	8
101	299	3
25203	2034	15
103	7403	21
12	5478	5
101	6308	18
12764	4365	23
106	7344	9
1146	8451	14
2857	7224	5
124	7925	11
758	395	2
4862	5644	31
785	3806	14
22984	1545	1
12736	6589	4
21701	1240	13
107	5023	2
1549	8957	13
163	4689	9
8158	6245	3
101	3239	14
101	1635	23
28512	6531	7
169	5038	0
2	8442	4
14	3213	18
14	4590	29
19152	2298	6
112	2153	17
25662	8234	9
3172	9574	34
2448	3211	1
136	9018	10
479	5208	8
102	2502	3
62	1180	3
235	3718	2
30298	7835	7
4033	7081	23
101	5511	15
773	4808	23
103	4842	20
1506	2814	16
106	7548	19
14	522	5
32033	228	7
176	8402	9
14	5549	19
102	5889	6
1173	3609	23
102	9668	1
360	7687	20
14	8358	22
219	3276	19
127	7534	25
777	2561	3
149	6777	5
187	286	23
12	1219	11
29426	3752	10
