117	178	34	8.86
1444	111	6	7.12
813	136	6	12.43
227	1275	3	13.18
199	1055	4	15.81
113	2846	5	14.61
669	239	3	9.33
103	1688	6	9.61
119	5047	3	13.27
12	113	837	177
111	1838	5	6.75
3601	102	5	8.52
12	184	82	9.48
3545	117	4	11.8
2049	104	8	10.56
565	110	14	11.05
2552	102	7	11.93
114	2562	5	13.11
2293	271	3	19.13
565	307	3	10.72
297	345	6	24.46
264	1415	3	15.01
150	694	4	6.77
85	339	5	15.13
102	1420	12	14.51
119	263	16	6.76
1842	4014	4	57.13
1007	142	6	17.34
113	6	14	15.16
260	200	5	10.6
1274	101	14	9.96
3865	12	4	6.65
985	842	4	30.63
127	743	6	6.76
883	963	3	22.65
143	3065	3	11.97
8	853	9	12.18
114	631	10	9.56
102	3895	4	6.81
150	2626	4	18.65
301	105	32	8.11
245	116	23	10.04
205	910	3	9.53
9	142	365	1557.04
129	1201	8	24.77
102	3791	4	6.81
3431	112	4	11.16
4509	105	3	6.9
587	12	24	8.94
966	139	5	10.54
840	160	4	9.66
259	185	6	10.97
124	174	26	14.78
142	6	14	47.49
3938	142	4	26.2
209	554	3	6.95
57	2002	3	15.1
131	3487	4	18.03
124	119	144	49.56
177	7	61	16.38
1802	132	5	15.14
1658	12	10	8.11
287	139	11	16.03
108	1102	10	7.57
4729	431	3	32.36
1125	2893	4	44.96
101	667	27	6.95
864	326	5	29.79
334	105	30	9.36
139	142	162	590.23
7	123	224	14.02
115	745	7	8.04
107	6212	3	6.68
969	101	18	7.39
405	896	3	14.87
556	12	25	14.2
107	4081	4	8.91
931	709	20	257.64
232	426	3	6.71
142	2846	4	18.72
594	1019	4	29.47
458	352	4	15.52
108	2168	8	16.45
1870	394	3	19.7
113	5971	3	11.82
152	2957	3	13.03
4938	1363	3	40.62
4457	124	3	11.26
108	2371	6	8.76
365	111	16	7.13
149	1195	4	10.88
2771	125	3	6.74
253	141	9	8.26
136	755	5	7.58
702	110	12	10.28
217	124	18	10.31
728	1482	4	31.62
552	416	3	12.58
1675	347	3	18.25
1061	714	3	19.46
616	260	3	10.06
12	1559	11	18.3
4384	102	4	6.81
1178	113	7	8.37
1849	111	7	15.36
4021	134	4	23.38
102	201	73	11.97
415	102	31	8.43
2545	136	4	15.93
896	226	4	16.89
143	1343	5	15.09
486	284	20	146.29
146	365	16	54.72
813	1359	3	22.58
124	2735	3	6.66
514	156	9	24.34
1096	129	5	9.38
4688	62	3	9.99
391	662	3	12.61
111	607	19	31.85
12	1302	12	8.38
145	701	5	8.93
107	1415	11	12.36
4746	432	3	32.49
379	399	4	14.8
552	244	5	20.91
252	749	3	10.76
3843	111	3	7.22
3388	108	4	6.64
1356	154	3	7.2
965	104	14	10.57
134	4057	4	23.38
445	110	18	12.72
1140	163	3	7.81
552	102	23	11.2
1139	168	4	14.66
886	142	12	50.85
2031	105	6	8.82
1503	109	10	22.8
3651	103	5	8
1427	103	11	6.64
108	847	15	19.88
814	12	17	7.31
4873	142	3	19.64
142	287	35	147.54
370	469	3	10.15
4729	229	3	28.5
129	116	141	44.27
3765	103	5	8
1019	185	3	9.39
1174	116	8	16.42
1649	109	8	14.78
3266	8	5	20.94
1118	105	12	9.27
529	577	3	13.59
2250	142	5	22.41
2932	168	3	15.94
9	1229	10	27.22
129	179	25	18.08
589	106	23	15.87
803	165	4	10.33
1406	12	11	7.18
697	626	4	23.89
141	1039	4	7.92
481	702	3	14.18
12	4001	4	6.65
9	1281	6	7.81
113	287	40	82.62
695	421	3	13.84
