2293	1
4950	2
6853	3
4498	4
73	5
272	6
3317	7
1573	8
543	9
5781	10
4606	11
2455	12
2616	13
1758	14
45	15
901	16
4053	17
46	18
2821	19
85	20
6448	21
1239	22
1831	23
3999	24
447	25
44	26
73	27
2360	28
1501	29
14	30
1518	31
124	32
3182	33
152	34
5355	35
1765	36
692	37
1016	38
874	39
5621	40
1253	41
6190	42
827	43
3388	44
177	45
4584	46
3294	47
386	48
3268	49
620	50
66	51
74	52
1176	53
175	54
925	55
5232	56
1422	57
317	58
6296	59
6725	60
1347	61
1855	62
1020	63
134	64
519	65
3607	66
1258	67
4215	68
5499	69
569	70
755	71
3357	72
412	73
3776	74
6551	75
1432	76
184	77
6127	78
61	79
49	80
741	81
38	82
4174	83
88	84
6212	85
5667	86
63	87
591	88
3180	89
5132	90
1308	91
6379	92
13	93
291	94
1105	95
164	96
4621	97
1025	98
193	99
279	100
2467	101
1549	102
6712	103
20	104
1563	105
167	106
3735	107
5875	108
2768	109
3771	110
427	111
4685	112
2920	113
6221	114
524	115
50	116
103	117
2743	118
2532	119
310	120
73	121
5280	122
1699	123
1875	124
585	125
1054	126
166	127
1588	128
150	129
3896	130
1673	131
1371	132
1776	133
355	134
58	135
83	136
495	137
4004	138
3065	139
5230	140
4112	141
1109	142
113	143
103	144
6333	145
147	146
1738	147
17	148
1102	149
6372	150
374	151
1996	152
4817	153
775	154
4971	155
6521	156
521	157
6651	158
6084	159
4593	160
1213	161
300	162
31	163
102	164
565	165
6225	166
582	167
573	168
1141	169
4841	170
1340	171
804	172
5999	173
1426	174
225	175
373	176
6901	177
1537	178
3100	179
1592	180
2933	181
1533	182
1195	183
1989	184
4967	185
454	186
3383	187
5461	188
2299	189
68	190
5130	191
898	192
6143	193
4	194
2734	195
463	196
174	197
3849	198
4701	199
218	200
1713	201
1086	202
3985	203
2078	204
6195	205
3342	206
2141	207
5845	208
37	209
589	210
2735	211
3530	212
1050	213
695	214
1569	215
1834	216
806	217
665	218
2357	219
1450	220
1986	221
5157	222
2892	223
6730	224
156	225
824	226
359	227
5339	228
351	229
289	230
729	231
3626	232
1370	233
2854	234
1181	235
4349	236
6033	237
665	238
6056	239
149	240
5691	241
1358	242
1264	243
2580	244
4907	245
4090	246
1622	247
36	248
850	249
826	250
2962	251
1388	252
6539	253
6316	254
109	255
6267	256
4727	257
6442	258
62	259
6812	260
3	261
2277	262
2499	263
4277	264
734	265
1991	266
5567	267
1552	268
1529	269
3013	270
6252	271
5795	272
5269	273
5156	274
141	275
2903	276
93	277
2484	278
5105	279
35	280
4501	281
1716	282
5082	283
105	284
4523	285
1207	286
6936	287
1748	288
635	289
841	290
1596	291
721	292
143	293
9	294
4218	295
127	296
2657	297
99	298
915	299
469	300
693	301
1346	302
307	303
140	304
926	305
953	306
6287	307
1720	308
515	309
3169	310
