199	1055	4	39.42
117	228	8	25.22
103	1688	3	8.87
688	107	3	5.25
351	205	3	20.99
12	184	13	7.85
3545	117	3	23.12
2552	102	3	11.95
565	110	9	44.74
119	263	4	10.34
8	853	10	58.5
114	706	3	10.53
124	174	3	4.18
108	1034	4	15.79
105	1245	5	19.66
108	2168	8	63.68
101	2537	4	12.41
3599	111	3	21.81
108	2371	3	15.76
101	4516	3	11.8
1793	14	4	10.48
101	2208	5	15.13
101	2132	4	9.88
458	107	7	17.76
2777	102	3	11.95
111	607	10	54.98
825	107	3	6.26
622	111	3	9.1
162	163	3	9.26
209	168	3	14.18
1503	109	4	21.63
108	847	12	71.95
101	862	5	5.37
116	153	10	14.86
102	4734	3	21.27
481	702	3	31.65
399	393	4	38.73
548	109	6	24.05
465	103	7	13.29
284	104	23	86.58
1621	102	3	8.3
1515	102	4	12.84
107	262	5	5.05
3788	207	4	59.69
4052	107	3	19.04
666	124	4	20.82
114	452	15	90.46
960	405	4	46.91
2322	14	4	13.51
101	1173	7	16.08
995	102	3	5.36
104	382	5	6.59
101	1325	5	9.24
12	1049	5	12.44
105	2585	3	14.05
856	103	3	4.65
1193	106	5	19.67
633	101	10	17.21
2873	101	4	14.19
118	132	10	6.34
106	348	5	7.18
377	6284	3	49.52
212	313	3	20.8
488	101	23	68.75
452	119	12	71.01
101	2856	6	32.32
1037	14	8	23.64
123	136	6	5.22
101	411	25	70.16
792	113	3	11.39
1024	102	14	77.69
2077	102	3	10.17
115	239	8	25.79
3850	1826	3	55.98
108	387	5	11.98
116	1087	4	20.64
3184	14	3	10.13
3147	102	5	30.11
2265	2034	4	71.17
2881	8	4	28.28
101	2899	4	14.19
105	2331	3	13.07
894	109	6	30.79
2231	106	3	13.08
971	120	4	22.26
114	6383	3	29.44
114	332	10	44.5
101	1580	8	28.38
525	104	4	5.93
104	195	8	5.72
106	145	15	6.61
1290	14	3	4.33
240	111	5	10.18
4504	14	4	24.2
879	117	5	25.87
106	312	5	6.39
122	214	5	14.75
201	110	4	4.35
104	231	40	174.3
453	101	10	11.1
685	157	3	20.08
1886	109	4	24.17
128	920	3	16.53
105	891	3	6.7
255	120	14	73.62
1528	1111	3	42.43
2823	8	4	28.28
108	476	4	9.34
198	103	13	14.75
101	324	10	6.37
1103	103	3	5.95
12	3403	3	13.41
106	1489	3	9.82
101	3024	5	21.67
110	295	3	4.75
101	4986	3	16.16
1257	14	8	27.02
163	161	3	9.07
